CODE,DESCRIPTION,FUNCTIONAL GROUP
SG_Halo_HYDR,Halophila,Hydrocharitaceae
MA_Pali,Palisada,Macroalgae
HC_Gard_AGA,Gardineroseris,Agariciidae
HC_Acrop_ACR,Acropora,Acroporidae
MA_Padi,Padina,Macroalgae
MA_Acan,Acanthophora,Macroalgae
MA,Macroalgae,
OINV_Clam,Clam,Other invertebrates
HC_BLEA,Bleached coral,Hard coral
HC_Boni_MERU,Boninastrea,Merulinidae
SG_Halo.o_HAL,Halophila ovalis,Halophila
SG_Rup,Ruppiaceae,Seagrass
HC_STYL,Stylasteridae,Hard coral
MA_Tyde,Tydemania,Macroalgae
NON.SC_Heli,Heliopora,Non-scleractinian
HC_Pavo_AGA,Pavona,Agariciidae
OINV_Anti,Antipatharia,Other invertebrates
HC_BLAS,Blastomussa,Hard coral
HC_FAVI,Faviidae,Hard coral
HC_San_FUN,Sandalolitha,Fungiidae
SeaU_Echi,Echinothrix,Sea urchin
HC_Scap_MERU,Scapophyllia,Merulinidae
SD_SI,Silt,Sand
HC_Anac_ACR,Anacropora,Acroporidae
HC_Oulo_MERU,Oulophyllia,Merulinidae
SC_Rhu_GOR,Rhumpella,Gorgonian
OINC_Giant.clam,Tridacna giant clam,Other invertebrates
SC_Zoan,Zoanthid,Soft coral
OINV_Coralli,Corallimorpharia,Other invertebrates
HC_Trac_MERU,Trachyphyllia,Merulinidae
HC_Sim_OCU,Simplastrea,Oculinidae
HC_Para_MUSS,Parascolymia,Mussidae
TA,Turf algae,
HC_FUNG,Fungiidae,Hard coral
HC_Mad_POCI,Madracis,Pocilloporidae
MA_Geli,Gelidiopsis,Macroalgae
HC_Astr_ACR,Astreopora,Acroporidae
HC_Phys_PEC,Physophyllia,Pectiniidae
HC_Lept_MERU,Leptoria,Merulinidae
HC_Micr_LOBO,Micromussa,Lobophyllidae
SeaU_Echi,Diadema,Sea urchin
SG_thal.h_THA,Thalassia hemprichii,Thalassia
MC_Lyn_CYA,Lyngbya,Cyanobacteria
SC_Elli_ELLI,Ellisella,Ellisellidae
OINV_Palyt,Palythoa tuberculosa,Other invertebrates
OINV_Tuni,Tunicate,Other invertebrates
SC_Ster_NEPT,Stereonephthya,Nephtheidae
HC_PHYS,Physogyra,Hard coral
HC_Por_POR,Porites,Poritidae
OINV_cots,Acanthaster planci,Other invertebrates
MA_Laur,Laurencia,Macroalgae
HC_DIPL,Diploastreidae,Hard coral
HC_Lith_FUN,Lithophyllon,Fungiidae
SC,Soft coral,
HC_AGA,Agariciidae,Hard coral
HC_Ser_POCI,Seriatopora,Pocilloporidae
HC_Ple_FUN,Pleuractis,Fungiidae
CYNO,Cyanobacteria,
MA_Hydr,Hydroclathrus,Macroalgae
HC_Sid_SIDE,Siderastrea,Siderastreidae
HC,Hard coral,
HC_NON_SCLE,Non-scleractinian,Hard coral
SG_Rup.m_RUP,Ruppia maritima,Ruppia
TRASH,Trash,
SC_Gor,Gorgonian,Soft coral
HYDROZO_Dis_STYL,Distichopora,Stylasteridae
MA_Grac,Gracilaria,Macroalgae
OT,Other invertebrates,
MA_Euch,Eucheuma,Macroalgae
SC_Scle_NEPT,Scleronephthya,Nephtheidae
HC_Indo_MUSS,Indophyllia,Mussidae
HC_Echi_LOBO,Echinophyllia,Lobophyllidae
MA_Neom,Neomeris,Macroalgae
SC_Xen_ALC,Xenia,Alcyoniidae
HC_MER,Merulinidae,Hard coral
OINV_Bryo,Bryozoan,Other invertebrates
HC_Aust_MERU,Australogyra,Merulinidae
MA_Aspa,Asparagopsis,Macroalgae
OINV_Nudi,Nudibranch,Other invertebrates
HC_Mont_ACR,Montipora,Acroporidae
HC_PACH,Pachyseris,Hard coral
HC_Het_DEN,Heteropsammia,Dendrophylliidae
MA_Ulva,Ulva,Macroalgae
HC_Sty_AST,Stylocoeniella,Astrocoeniidae
MA_Udot,Udotea,Macroalgae
HC_Caul_MERU,Caulastraea,Merulinidae
HC_dend_DEN,Dendrophyllia,Dendrophylliidae
MA_Hali,Halimeda,Macroalgae
HC_Cosc_COSC,Coscinaraea,Coscinaraeidae
HC_Coel_MERU,Coelastrea,Merulinidae
HC_Tur_DEN,Turbinaria-coral,Dendrophylliidae
HC_TUBI,Tubiporidae,Hard coral
SC_Elli,Ellisellidae,Soft coral
HC_Aust_LOBO,Australophyllia,Lobophyllidae
HC_PLES,Plesiastrea,Hard coral
HC_Dan_FUN,Danafungia,Fungiidae
HC_Car_DEN,Caryophyllia,Dendrophylliidae
HC_Cat_EUP,Catalaphyllia,Euphyllidae
SC_Meli,Melithaea,Soft coral
HC_PSAM,Psammocoridae,Hard coral
MA_Aman,Amansia,Macroalgae
SG,Seagrass,
HC_Gon_POR,Goniopora,Poritidae
HC_Scol_MUSS,Scolymia,Mussidae
HC_Pect_MERU,Pectinia,Merulinidae
HC_Echi_MUSS,Echinomorpha,Mussidae
OINV_Invert,Invertebrate,Other invertebrates
HC_Astr_MERU,Astrea,Merulinidae
MA_Turb,Turbinaria-algae,Macroalgae
INV_Het_ANE,Heteractis,Anemone
HC_Cte_MEAN,Ctenella,Meandrinidae
HC_Fav_FAVI,Favia,Faviidae
HC_POCI,Pocilloporidae,Hard coral
SG_Cym_CYM,Cymodocea serrulata,Cymodocea
HC_Alve_ACR,Alveopora,Acroporidae
MA_Vent,Ventricaria,Macroalgae
OINV_SP,Sponge,Other invertebrates
HC_Cte_FUN,Ctenactis,Fungiidae
MA_Amph,Amphiroa,Macroalgae
HC_Lob_FUN,Lobactis,Fungiidae
HC_Favi_MERU,Favites,Merulinidae
MC_MC_CYA,Microbial mats,Cyanobacteria
OINV_SeaC,Sea cucumber,Other invertebrates
